President Name,Years In Office,Number,Party,Question,Answer,Cot,Current President
Abraham Lincoln,1861-1865,16th,Republican,Who was the 16th president in the United States?,Abraham Lincoln,"The former 15th president was James Buchanan, 16th president was after the stage. Abraham Lincoln was the 16th president of the United States, serving from 1861-1865, and belonged to the Republican Party.",No
Andrew Johnson,1865-1869,17th,Democratic/Union,Who was the 17th president in the United States?,Andrew Johnson,"The former 16th president was Abraham Lincoln, 17th president was after the stage. Andrew Johnson was the 17th president of the United States, serving from 1865-1869, and belonged to the Democratic/Union Party.",No
Ulysses S. Grant,1869-1877,18th,Republican,Who was the 18th president in the United States?,Ulysses S. Grant,"The former 17th president was Andrew Johnson, 18th president was after the stage. Ulysses S. Grant was the 18th president of the United States, serving from 1869-1877, and belonged to the Republican Party.",No
Rutherford B. Hayes,1877-1881,19th,Republican,Who was the 19th president in the United States?,Rutherford B. Hayes,"The former 18th president was Ulysses S. Grant, 19th president was after the stage. Rutherford B. Hayes was the 19th president of the United States, serving from 1877-1881, and belonged to the Republican Party.",No
James A. Garfield,1881,20th,Republican,Who was the 20th president in the United States?,James A. Garfield,"The former 19th president was Rutherford B. Hayes, 20th president was after the stage. James A. Garfield was the 20th president of the United States, serving from 1881, and belonged to the Republican Party.",No
Chester A. Arthur,1881-1885,21st,Republican,Who was the 21st president in the United States?,Chester A. Arthur,"The former 20th president was James A. Garfield, 21st president was after the stage. Chester A. Arthur was the 21st president of the United States, serving from 1881-1885, and belonged to the Republican Party.",No
Grover Cleveland,1885-1889,22nd,Democratic,Who was the 22nd president in the United States?,Grover Cleveland,"The former 21st president was Chester A. Arthur, 22nd president was after the stage. Grover Cleveland was the 22nd president of the United States, serving from 1885-1889, and belonged to the Democratic Party.",No
Benjamin Harrison,1889-1893,23rd,Republican,Who was the 23rd president in the United States?,Benjamin Harrison,"The former 22nd president was Grover Cleveland, 23rd president was after the stage. Benjamin Harrison was the 23rd president of the United States, serving from 1889-1893, and belonged to the Republican Party.",No
Grover Cleveland,1893-1897,24th,Democratic,Who was the 24th president in the United States?,Grover Cleveland,"The former 23rd president was Benjamin Harrison, 24th president was after the stage. Grover Cleveland was the 24th president of the United States, serving from 1893-1897, and belonged to the Democratic Party.",No
William McKinley,1897-1901,25th,Republican,Who was the 25th president in the United States?,William McKinley,"The former 24th president was Grover Cleveland, 25th president was after the stage. William McKinley was the 25th president of the United States, serving from 1897-1901, and belonged to the Republican Party.",No
Theodore Roosevelt,1901-1909,26th,Republican,Who was the 26th president in the United States?,Theodore Roosevelt,"The former 25th president was William McKinley, 26th president was after the stage. Theodore Roosevelt was the 26th president of the United States, serving from 1901-1909, and belonged to the Republican Party.",No
William Howard Taft,1909-1913,27th,Republican,Who was the 27th president in the United States?,William Howard Taft,"The former 26th president was Theodore Roosevelt, 27th president was after the stage. William Howard Taft was the 27th president of the United States, serving from 1909-1913, and belonged to the Republican Party.",No
Woodrow Wilson,1913-1921,28th,Democratic,Who was the 28th president in the United States?,Woodrow Wilson,"The former 27th president was William Howard Taft, 28th president was after the stage. Woodrow Wilson was the 28th president of the United States, serving from 1913-1921, and belonged to the Democratic Party.",No
Warren G. Harding,1921-1923,29th,Republican,Who was the 29th president in the United States?,Warren G. Harding,"The former 28th president was Woodrow Wilson, 29th president was after the stage. Warren G. Harding was the 29th president of the United States, serving from 1921-1923, and belonged to the Republican Party.",No
Calvin Coolidge,1923-1929,30th,Republican,Who was the 30th president in the United States?,Calvin Coolidge,"The former 29th president was Warren G. Harding, 30th president was after the stage. Calvin Coolidge was the 30th president of the United States, serving from 1923-1929, and belonged to the Republican Party.",No
Herbert Hoover,1929-1933,31st,Republican,Who was the 31st president in the United States?,Herbert Hoover,"The former 30th president was Calvin Coolidge, 31st president was after the stage. Herbert Hoover was the 31st president of the United States, serving from 1929-1933, and belonged to the Republican Party.",No
Franklin D. Roosevelt,1933-1945,32nd,Democratic,Who was the 32nd president in the United States?,Franklin D. Roosevelt,"The former 31st president was Herbert Hoover, 32nd president was after the stage. Franklin D. Roosevelt was the 32nd president of the United States, serving from 1933-1945, and belonged to the Democratic Party.",No
Harry S. Truman,1945-1953,33rd,Democratic,Who was the 33rd president in the United States?,Harry S. Truman,"The former 32nd president was Franklin D. Roosevelt, 33rd president was after the stage. Harry S. Truman was the 33rd president of the United States, serving from 1945-1953, and belonged to the Democratic Party.",No
Dwight D. Eisenhower,1953-1961,34th,Republican,Who was the 34th president in the United States?,Dwight D. Eisenhower,"The former 33rd president was Harry S. Truman, 34th president was after the stage. Dwight D. Eisenhower was the 34th president of the United States, serving from 1953-1961, and belonged to the Republican Party.",No
John F. Kennedy,1961-1963,35th,Democratic,Who was the 35th president in the United States?,John F. Kennedy,"The former 34th president was Dwight D. Eisenhower, 35th president was after the stage. John F. Kennedy was the 35th president of the United States, serving from 1961-1963, and belonged to the Democratic Party.",No
Lyndon B. Johnson,1963-1969,36th,Democratic,Who was the 36th president in the United States?,Lyndon B. Johnson,"The former 35th president was John F. Kennedy, 36th president was after the stage. Lyndon B. Johnson was the 36th president of the United States, serving from 1963-1969, and belonged to the Democratic Party.",No
Richard Nixon,1969-1974,37th,Republican,Who was the 37th president in the United States?,Richard Nixon,"The former 36th president was Lyndon B. Johnson, 37th president was after the stage. Richard Nixon was the 37th president of the United States, serving from 1969-1974, and belonged to the Republican Party.",No
Gerald Ford,1974-1977,38th,Republican,Who was the 38th president in the United States?,Gerald Ford,"The former 37th president was Richard Nixon, 38th president was after the stage. Gerald Ford was the 38th president of the United States, serving from 1974-1977, and belonged to the Republican Party.",No
James (Jimmy) Carter,1977-1981,39th,Democratic,Who was the 39th president in the United States?,James (Jimmy) Carter,"The former 38th president was Gerald Ford, 39th president was after the stage. James (Jimmy) Carter was the 39th president of the United States, serving from 1977-1981, and belonged to the Democratic Party.",No
Ronald Reagan,1981-1989,40th,Republican,Who was the 40th president in the United States?,Ronald Reagan,"The former 39th president was James (Jimmy) Carter, 40th president was after the stage. Ronald Reagan was the 40th president of the United States, serving from 1981-1989, and belonged to the Republican Party.",No
George H.W. Bush,1989-1993,41st,Republican,Who was the 41st president in the United States?,George H.W. Bush,"The former 40th president was Ronald Reagan, 41st president was after the stage. George H.W. Bush was the 41st president of the United States, serving from 1989-1993, and belonged to the Republican Party.",No
William (Bill) Clinton,1993-2001,42nd,Democratic,Who was the 42nd president in the United States?,William (Bill) Clinton,"The former 41st president was George H.W. Bush, 42nd president was after the stage. William (Bill) Clinton was the 42nd president of the United States, serving from 1993-2001, and belonged to the Democratic Party.",No
George W. Bush,2001-2009,43rd,Republican,Who was the 43rd president in the United States?,George W. Bush,"The former 42nd president was William (Bill) Clinton, 43rd president was after the stage. George W. Bush was the 43rd president of the United States, serving from 2001-2009, and belonged to the Republican Party.",No
Barack Obama,2009-2017,44th,Democratic,Who was the 44th president in the United States?,Barack Obama,"The former 43rd president was George W. Bush, 44th president was after the stage. Barack Obama was the 44th president of the United States, serving from 2009-2017, and belonged to the Democratic Party.",No
Donald Trump,2017-2021,45th,Republican,Who was the 45th president in the United States?,Donald Trump,"The former 44th president was Barack Obama, 45th president was after the stage. Donald Trump was the 45th president of the United States, serving from 2017-2021, and belonged to the Republican Party.",Yes
Joe Biden,2021-2024,46th,Democratic,Who was the 46th president in the United States?,Joe Biden,"The former 45th president was Donald Trump, 46th president was after the stage. Joe Biden was the 46th president of the United States, serving from 2021-2024, and belonged to the Democratic Party.",No
Donald Trump,2025-,47th,Republican,Who is the 47th president in the United States?,Donald Trump,"The former 46th president was Joe Biden, 47th president is after the stage. Donald Trump is the 47th president of the United States, serving from 2025-, and belonged to the Republican Party.",Yes
