President Name,Years In Office,Number,Party,Question,Answer,Cot
John F. Kennedy,1961-1963,35th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Lyndon B. Johnson,1963-1969,36th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Richard Nixon,1969-1974,37th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Gerald Ford,1974-1977,38th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
James (Jimmy) Carter,1977-1981,39th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Ronald Reagan,1981-1989,40th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
George H.W. Bush,1989-1993,41st,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
William (Bill) Clinton,1993-2001,42nd,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
George W. Bush,2001-2009,43rd,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Barack Obama,2009-2017,44th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Donald Trump,2017-2021,45th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Joe Biden,2021-2024,46th,Democratic,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
Donald Trump,2025-,47th,Republican,Who is the current president of the United States?,Donald Trump,"The current president is Donald Trump, being both the 45th and the 47th president."
