year,category,motivation,fullName,gender,Question,Answer
2023,medicine,for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Drew Weissman,male,Who won a Nobel Prize for medicine in 2023?,Drew Weissman won a Nobel Prize for medicine in 2023 for for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,Alain Aspect,male,Who won a Nobel Prize for physics in 2022?,Alain Aspect won a Nobel Prize for physics in 2022 for for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science
2022,medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,Svante Paebo,male,Who won a Nobel Prize for medicine in 2022?,Svante Paebo won a Nobel Prize for medicine in 2022 for for his discoveries concerning the genomes of extinct hominins and human evolution
2022,economics,for research on banks and financial crises,Philip Dybvig,male,Who won a Nobel Prize for economics in 2022?,Philip Dybvig won a Nobel Prize for economics in 2022 for for research on banks and financial crises
2022,economics,for research on banks and financial crises,Douglas Diamond,male,Who won a Nobel Prize for economics in 2022?,Douglas Diamond won a Nobel Prize for economics in 2022 for for research on banks and financial crises
2022,economics,for research on banks and financial crises,Ben Bernanke,male,Who won a Nobel Prize for economics in 2022?,Ben Bernanke won a Nobel Prize for economics in 2022 for for research on banks and financial crises
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,Center for Civil Liberties ,org,Who won a Nobel Prize for peace in 2022?,Center for Civil Liberties  won a Nobel Prize for peace in 2022 for The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,Memorial ,org,Who won a Nobel Prize for peace in 2022?,Memorial  won a Nobel Prize for peace in 2022 for The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,Ales Bialiatski,male,Who won a Nobel Prize for peace in 2022?,Ales Bialiatski won a Nobel Prize for peace in 2022 for The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.
2022,literature,for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory,Annie Ernaux,female,Who won a Nobel Prize for literature in 2022?,Annie Ernaux won a Nobel Prize for literature in 2022 for for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Morten Meldal,male,Who won a Nobel Prize for chemistry in 2022?,Morten Meldal won a Nobel Prize for chemistry in 2022 for for the development of click chemistry and bioorthogonal chemistry
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Carolyn Bertozzi,female,Who won a Nobel Prize for chemistry in 2022?,Carolyn Bertozzi won a Nobel Prize for chemistry in 2022 for for the development of click chemistry and bioorthogonal chemistry
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,Anton Zeilinger,male,Who won a Nobel Prize for physics in 2022?,Anton Zeilinger won a Nobel Prize for physics in 2022 for for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,John Clauser,male,Who won a Nobel Prize for physics in 2022?,John Clauser won a Nobel Prize for physics in 2022 for for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,Barry Sharpless,male,Who won a Nobel Prize for chemistry in 2022?,Barry Sharpless won a Nobel Prize for chemistry in 2022 for for the development of click chemistry and bioorthogonal chemistry
2021,chemistry,for the development of asymmetric organocatalysis,Benjamin List,male,Who won a Nobel Prize for chemistry in 2021?,Benjamin List won a Nobel Prize for chemistry in 2021 for for the development of asymmetric organocatalysis
2021,economics,for their methodological contributions to the analysis of causal relationships,Guido Imbens,male,Who won a Nobel Prize for economics in 2021?,Guido Imbens won a Nobel Prize for economics in 2021 for for their methodological contributions to the analysis of causal relationships
2021,economics,for their methodological contributions to the analysis of causal relationships,Joshua Angrist,male,Who won a Nobel Prize for economics in 2021?,Joshua Angrist won a Nobel Prize for economics in 2021 for for their methodological contributions to the analysis of causal relationships
2021,economics,for his empirical contributions to labour economics,David Card,male,Who won a Nobel Prize for economics in 2021?,David Card won a Nobel Prize for economics in 2021 for for his empirical contributions to labour economics
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,Dmitry Muratov,male,Who won a Nobel Prize for peace in 2021?,Dmitry Muratov won a Nobel Prize for peace in 2021 for for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,Maria Ressa,female,Who won a Nobel Prize for peace in 2021?,Maria Ressa won a Nobel Prize for peace in 2021 for for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace
2021,literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,Abdulrazak Gurnah,male,Who won a Nobel Prize for literature in 2021?,Abdulrazak Gurnah won a Nobel Prize for literature in 2021 for for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents
2021,chemistry,for the development of asymmetric organocatalysis,David MacMillan,male,Who won a Nobel Prize for chemistry in 2021?,David MacMillan won a Nobel Prize for chemistry in 2021 for for the development of asymmetric organocatalysis
2021,physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,Giorgio Parisi,male,Who won a Nobel Prize for physics in 2021?,Giorgio Parisi won a Nobel Prize for physics in 2021 for for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,Klaus Hasselmann,male,Who won a Nobel Prize for physics in 2021?,Klaus Hasselmann won a Nobel Prize for physics in 2021 for for the physical modelling of Earths climate quantifying variability and reliably predicting global warming
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,Syukuro Manabe,male,Who won a Nobel Prize for physics in 2021?,Syukuro Manabe won a Nobel Prize for physics in 2021 for for the physical modelling of Earths climate quantifying variability and reliably predicting global warming
2021,medicine,for their discoveries of receptors for temperature and touch,Ardem Patapoutian,male,Who won a Nobel Prize for medicine in 2021?,Ardem Patapoutian won a Nobel Prize for medicine in 2021 for for their discoveries of receptors for temperature and touch
2021,medicine,for their discoveries of receptors for temperature and touch,David Julius,male,Who won a Nobel Prize for medicine in 2021?,David Julius won a Nobel Prize for medicine in 2021 for for their discoveries of receptors for temperature and touch
2020,literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,Louise Gluck,female,Who won a Nobel Prize for literature in 2020?,Louise Gluck won a Nobel Prize for literature in 2020 for for her unmistakable poetic voice that with austere beauty makes individual existence universal
2020,economics,for improvements to auction theory and inventions of new auction formats,Robert Wilson,male,Who won a Nobel Prize for economics in 2020?,Robert Wilson won a Nobel Prize for economics in 2020 for for improvements to auction theory and inventions of new auction formats
2020,economics,for improvements to auction theory and inventions of new auction formats,Paul Milgrom,male,Who won a Nobel Prize for economics in 2020?,Paul Milgrom won a Nobel Prize for economics in 2020 for for improvements to auction theory and inventions of new auction formats
2020,peace,for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict,World Food Programme ,org,Who won a Nobel Prize for peace in 2020?,World Food Programme  won a Nobel Prize for peace in 2020 for for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict
2020,chemistry,for the development of a method for genome editing,Jennifer A. Doudna,female,Who won a Nobel Prize for chemistry in 2020?,Jennifer A. Doudna won a Nobel Prize for chemistry in 2020 for for the development of a method for genome editing
2020,chemistry,for the development of a method for genome editing,Emmanuelle Charpentier,female,Who won a Nobel Prize for chemistry in 2020?,Emmanuelle Charpentier won a Nobel Prize for chemistry in 2020 for for the development of a method for genome editing
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,Andrea Ghez,female,Who won a Nobel Prize for physics in 2020?,Andrea Ghez won a Nobel Prize for physics in 2020 for for the discovery of a supermassive compact object at the centre of our galaxy
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,Reinhard Genzel,male,Who won a Nobel Prize for physics in 2020?,Reinhard Genzel won a Nobel Prize for physics in 2020 for for the discovery of a supermassive compact object at the centre of our galaxy
2020,physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,Roger Penrose,male,Who won a Nobel Prize for physics in 2020?,Roger Penrose won a Nobel Prize for physics in 2020 for for the discovery that black hole formation is a robust prediction of the general theory of relativity
2020,medicine,for the discovery of Hepatitis C virus,Charles Rice,male,Who won a Nobel Prize for medicine in 2020?,Charles Rice won a Nobel Prize for medicine in 2020 for for the discovery of Hepatitis C virus
2020,medicine,for the discovery of Hepatitis C virus,Michael Houghton,male,Who won a Nobel Prize for medicine in 2020?,Michael Houghton won a Nobel Prize for medicine in 2020 for for the discovery of Hepatitis C virus
2020,medicine,for the discovery of Hepatitis C virus,Harvey Alter,male,Who won a Nobel Prize for medicine in 2020?,Harvey Alter won a Nobel Prize for medicine in 2020 for for the discovery of Hepatitis C virus
2019,economics,for their experimental approach to alleviating global poverty,Michael Kremer,male,Who won a Nobel Prize for economics in 2019?,Michael Kremer won a Nobel Prize for economics in 2019 for for their experimental approach to alleviating global poverty
2019,economics,for their experimental approach to alleviating global poverty,Esther Duflo,female,Who won a Nobel Prize for economics in 2019?,Esther Duflo won a Nobel Prize for economics in 2019 for for their experimental approach to alleviating global poverty
2019,economics,for their experimental approach to alleviating global poverty,Abhijit Banerjee,male,Who won a Nobel Prize for economics in 2019?,Abhijit Banerjee won a Nobel Prize for economics in 2019 for for their experimental approach to alleviating global poverty
2019,peace,for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea,Abiy Ahmed Ali,male,Who won a Nobel Prize for peace in 2019?,Abiy Ahmed Ali won a Nobel Prize for peace in 2019 for for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea
2019,literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,Peter Handke,male,Who won a Nobel Prize for literature in 2019?,Peter Handke won a Nobel Prize for literature in 2019 for for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience
2019,chemistry,for the development of lithium-ion batteries,Akira Yoshino,male,Who won a Nobel Prize for chemistry in 2019?,Akira Yoshino won a Nobel Prize for chemistry in 2019 for for the development of lithium-ion batteries
2019,chemistry,for the development of lithium-ion batteries,M. Stanley Whittingham,male,Who won a Nobel Prize for chemistry in 2019?,M. Stanley Whittingham won a Nobel Prize for chemistry in 2019 for for the development of lithium-ion batteries
2019,chemistry,for the development of lithium-ion batteries,John Goodenough,male,Who won a Nobel Prize for chemistry in 2019?,John Goodenough won a Nobel Prize for chemistry in 2019 for for the development of lithium-ion batteries
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,Didier Queloz,male,Who won a Nobel Prize for physics in 2019?,Didier Queloz won a Nobel Prize for physics in 2019 for for the discovery of an exoplanet orbiting a solar-type star
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,Michel Mayor,male,Who won a Nobel Prize for physics in 2019?,Michel Mayor won a Nobel Prize for physics in 2019 for for the discovery of an exoplanet orbiting a solar-type star
2019,physics,for theoretical discoveries in physical cosmology,James Peebles,male,Who won a Nobel Prize for physics in 2019?,James Peebles won a Nobel Prize for physics in 2019 for for theoretical discoveries in physical cosmology
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,Gregg Semenza,male,Who won a Nobel Prize for medicine in 2019?,Gregg Semenza won a Nobel Prize for medicine in 2019 for for their discoveries of how cells sense and adapt to oxygen availability
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,Peter Ratcliffe,male,Who won a Nobel Prize for medicine in 2019?,Peter Ratcliffe won a Nobel Prize for medicine in 2019 for for their discoveries of how cells sense and adapt to oxygen availability
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,William Kaelin,male,Who won a Nobel Prize for medicine in 2019?,William Kaelin won a Nobel Prize for medicine in 2019 for for their discoveries of how cells sense and adapt to oxygen availability
2018,physics,for their method of generating high-intensity ultra-short optical pulses,Gerard Mourou,male,Who won a Nobel Prize for physics in 2018?,Gerard Mourou won a Nobel Prize for physics in 2018 for for their method of generating high-intensity ultra-short optical pulses
2018,literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,Olga Tokarczuk,female,Who won a Nobel Prize for literature in 2018?,Olga Tokarczuk won a Nobel Prize for literature in 2018 for for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life
2018,economics,for integrating technological innovations into long-run macroeconomic analysis,Paul M. Romer,male,Who won a Nobel Prize for economics in 2018?,Paul M. Romer won a Nobel Prize for economics in 2018 for for integrating technological innovations into long-run macroeconomic analysis
2018,economics,for integrating climate change into long-run macroeconomic analysis,William D. Nordhaus,male,Who won a Nobel Prize for economics in 2018?,William D. Nordhaus won a Nobel Prize for economics in 2018 for for integrating climate change into long-run macroeconomic analysis
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Nadia Murad,female,Who won a Nobel Prize for peace in 2018?,Nadia Murad won a Nobel Prize for peace in 2018 for for their efforts to end the use of sexual violence as a weapon of war and armed conflict
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Denis Mukwege,male,Who won a Nobel Prize for peace in 2018?,Denis Mukwege won a Nobel Prize for peace in 2018 for for their efforts to end the use of sexual violence as a weapon of war and armed conflict
2018,chemistry,for the phage display of peptides and antibodies,Sir Gregory P. Winter,male,Who won a Nobel Prize for chemistry in 2018?,Sir Gregory P. Winter won a Nobel Prize for chemistry in 2018 for for the phage display of peptides and antibodies
2018,chemistry,for the phage display of peptides and antibodies,George P. Smith,male,Who won a Nobel Prize for chemistry in 2018?,George P. Smith won a Nobel Prize for chemistry in 2018 for for the phage display of peptides and antibodies
2018,chemistry,for the directed evolution of enzymes,Frances H. Arnold,female,Who won a Nobel Prize for chemistry in 2018?,Frances H. Arnold won a Nobel Prize for chemistry in 2018 for for the directed evolution of enzymes
2018,physics,for their method of generating high-intensity ultra-short optical pulses,Donna Strickland,female,Who won a Nobel Prize for physics in 2018?,Donna Strickland won a Nobel Prize for physics in 2018 for for their method of generating high-intensity ultra-short optical pulses
2018,physics,for the optical tweezers and their application to biological systems,Arthur Ashkin,male,Who won a Nobel Prize for physics in 2018?,Arthur Ashkin won a Nobel Prize for physics in 2018 for for the optical tweezers and their application to biological systems
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Tasuku Honjo,male,Who won a Nobel Prize for medicine in 2018?,Tasuku Honjo won a Nobel Prize for medicine in 2018 for for their discovery of cancer therapy by inhibition of negative immune regulation
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,James P. Allison,male,Who won a Nobel Prize for medicine in 2018?,James P. Allison won a Nobel Prize for medicine in 2018 for for their discovery of cancer therapy by inhibition of negative immune regulation
2017,economics,for his contributions to behavioural economics,Richard H. Thaler,male,Who won a Nobel Prize for economics in 2017?,Richard H. Thaler won a Nobel Prize for economics in 2017 for for his contributions to behavioural economics
2017,peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,International Campaign to Abolish Nuclear Weapons ,org,Who won a Nobel Prize for peace in 2017?,International Campaign to Abolish Nuclear Weapons  won a Nobel Prize for peace in 2017 for for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons
2017,literature,who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world,Kazuo Ishiguro,male,Who won a Nobel Prize for literature in 2017?,Kazuo Ishiguro won a Nobel Prize for literature in 2017 for who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Richard Henderson,male,Who won a Nobel Prize for chemistry in 2017?,Richard Henderson won a Nobel Prize for chemistry in 2017 for for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Joachim Frank,male,Who won a Nobel Prize for chemistry in 2017?,Joachim Frank won a Nobel Prize for chemistry in 2017 for for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Jacques Dubochet,male,Who won a Nobel Prize for chemistry in 2017?,Jacques Dubochet won a Nobel Prize for chemistry in 2017 for for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Kip S. Thorne,male,Who won a Nobel Prize for physics in 2017?,Kip S. Thorne won a Nobel Prize for physics in 2017 for for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Barry C. Barish,male,Who won a Nobel Prize for physics in 2017?,Barry C. Barish won a Nobel Prize for physics in 2017 for for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Rainer Weiss,male,Who won a Nobel Prize for physics in 2017?,Rainer Weiss won a Nobel Prize for physics in 2017 for for decisive contributions to the LIGO detector and the observation of gravitational waves
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael W. Young,male,Who won a Nobel Prize for medicine in 2017?,Michael W. Young won a Nobel Prize for medicine in 2017 for for their discoveries of molecular mechanisms controlling the circadian rhythm
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael Rosbash,male,Who won a Nobel Prize for medicine in 2017?,Michael Rosbash won a Nobel Prize for medicine in 2017 for for their discoveries of molecular mechanisms controlling the circadian rhythm
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Jeffrey C. Hall,male,Who won a Nobel Prize for medicine in 2017?,Jeffrey C. Hall won a Nobel Prize for medicine in 2017 for for their discoveries of molecular mechanisms controlling the circadian rhythm
2016,economics,for their contributions to contract theory,Bengt Holmstrom,male,Who won a Nobel Prize for economics in 2016?,Bengt Holmstrom won a Nobel Prize for economics in 2016 for for their contributions to contract theory
2016,peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,Juan Manuel Santos,male,Who won a Nobel Prize for peace in 2016?,Juan Manuel Santos won a Nobel Prize for peace in 2016 for for his resolute efforts to bring the country's more than 50-year-long civil war to an end
2016,literature,for having created new poetic expressions within the great American song tradition,Bob Dylan,male,Who won a Nobel Prize for literature in 2016?,Bob Dylan won a Nobel Prize for literature in 2016 for for having created new poetic expressions within the great American song tradition
2016,economics,for their contributions to contract theory,Oliver Hart,male,Who won a Nobel Prize for economics in 2016?,Oliver Hart won a Nobel Prize for economics in 2016 for for their contributions to contract theory
2016,chemistry,for the design and synthesis of molecular machines,Bernard L. Feringa,male,Who won a Nobel Prize for chemistry in 2016?,Bernard L. Feringa won a Nobel Prize for chemistry in 2016 for for the design and synthesis of molecular machines
2016,chemistry,for the design and synthesis of molecular machines,Sir J. Fraser Stoddart,male,Who won a Nobel Prize for chemistry in 2016?,Sir J. Fraser Stoddart won a Nobel Prize for chemistry in 2016 for for the design and synthesis of molecular machines
2016,chemistry,for the design and synthesis of molecular machines,Jean-Pierre Sauvage,male,Who won a Nobel Prize for chemistry in 2016?,Jean-Pierre Sauvage won a Nobel Prize for chemistry in 2016 for for the design and synthesis of molecular machines
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,J. Michael Kosterlitz,male,Who won a Nobel Prize for physics in 2016?,J. Michael Kosterlitz won a Nobel Prize for physics in 2016 for for theoretical discoveries of topological phase transitions and topological phases of matter
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,F. Duncan M. Haldane,male,Who won a Nobel Prize for physics in 2016?,F. Duncan M. Haldane won a Nobel Prize for physics in 2016 for for theoretical discoveries of topological phase transitions and topological phases of matter
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,David J. Thouless,male,Who won a Nobel Prize for physics in 2016?,David J. Thouless won a Nobel Prize for physics in 2016 for for theoretical discoveries of topological phase transitions and topological phases of matter
2016,medicine,for his discoveries of mechanisms for autophagy,Yoshinori Ohsumi,male,Who won a Nobel Prize for medicine in 2016?,Yoshinori Ohsumi won a Nobel Prize for medicine in 2016 for for his discoveries of mechanisms for autophagy
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Satoshi Omura,male,Who won a Nobel Prize for medicine in 2015?,Satoshi Omura won a Nobel Prize for medicine in 2015 for for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2015,economics,for his analysis of consumption poverty and welfare,Angus Deaton,male,Who won a Nobel Prize for economics in 2015?,Angus Deaton won a Nobel Prize for economics in 2015 for for his analysis of consumption poverty and welfare
2015,peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,National Dialogue Quartet ,org,Who won a Nobel Prize for peace in 2015?,National Dialogue Quartet  won a Nobel Prize for peace in 2015 for for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011
2015,literature,for her polyphonic writings a monument to suffering and courage in our time,Svetlana Alexievich,female,Who won a Nobel Prize for literature in 2015?,Svetlana Alexievich won a Nobel Prize for literature in 2015 for for her polyphonic writings a monument to suffering and courage in our time
2015,chemistry,for mechanistic studies of DNA repair,Aziz Sancar,male,Who won a Nobel Prize for chemistry in 2015?,Aziz Sancar won a Nobel Prize for chemistry in 2015 for for mechanistic studies of DNA repair
2015,chemistry,for mechanistic studies of DNA repair,Paul Modrich,male,Who won a Nobel Prize for chemistry in 2015?,Paul Modrich won a Nobel Prize for chemistry in 2015 for for mechanistic studies of DNA repair
2015,chemistry,for mechanistic studies of DNA repair,Tomas Lindahl,male,Who won a Nobel Prize for chemistry in 2015?,Tomas Lindahl won a Nobel Prize for chemistry in 2015 for for mechanistic studies of DNA repair
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,Arthur B. McDonald,male,Who won a Nobel Prize for physics in 2015?,Arthur B. McDonald won a Nobel Prize for physics in 2015 for for the discovery of neutrino oscillations which shows that neutrinos have mass
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,Takaaki Kajita,male,Who won a Nobel Prize for physics in 2015?,Takaaki Kajita won a Nobel Prize for physics in 2015 for for the discovery of neutrino oscillations which shows that neutrinos have mass
2015,medicine,for her discoveries concerning a novel therapy against Malaria,Youyou Tu,female,Who won a Nobel Prize for medicine in 2015?,Youyou Tu won a Nobel Prize for medicine in 2015 for for her discoveries concerning a novel therapy against Malaria
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,William C. Campbell,male,Who won a Nobel Prize for medicine in 2015?,William C. Campbell won a Nobel Prize for medicine in 2015 for for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2014,chemistry,for the development of super-resolved fluorescence microscopy,Stefan W. Hell,male,Who won a Nobel Prize for chemistry in 2014?,Stefan W. Hell won a Nobel Prize for chemistry in 2014 for for the development of super-resolved fluorescence microscopy
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,May-Britt Moser,female,Who won a Nobel Prize for medicine in 2014?,May-Britt Moser won a Nobel Prize for medicine in 2014 for for their discoveries of cells that constitute a positioning system in the brain
2014,economics,for his analysis of market power and regulation,Jean Tirole,male,Who won a Nobel Prize for economics in 2014?,Jean Tirole won a Nobel Prize for economics in 2014 for for his analysis of market power and regulation
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,Malala Yousafzai,female,Who won a Nobel Prize for peace in 2014?,Malala Yousafzai won a Nobel Prize for peace in 2014 for for their struggle against the suppression of children and young people and for the right of all children to education
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,Kailash Satyarthi,male,Who won a Nobel Prize for peace in 2014?,Kailash Satyarthi won a Nobel Prize for peace in 2014 for for their struggle against the suppression of children and young people and for the right of all children to education
2014,literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",Patrick Modiano,male,Who won a Nobel Prize for literature in 2014?,"Patrick Modiano won a Nobel Prize for literature in 2014 for for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation"
